epoch,d_loss,g_loss
1,1.0748461484909058,0.8710162043571472
2,0.9083123803138733,1.1470868587493896
3,0.9016901254653931,1.3531954288482666
4,0.3542998135089874,2.180147409439087
5,0.31197842955589294,2.448157787322998
6,0.17576749622821808,2.764446258544922
7,0.3243117332458496,2.7667341232299805
8,0.28042832016944885,2.9903652667999268
9,0.15444518625736237,3.4561374187469482
10,0.0860757902264595,3.8199210166931152
11,0.07261452078819275,4.011547088623047
12,0.06584001332521439,4.269516944885254
13,0.037671174854040146,4.388392925262451
14,0.025140872225165367,4.696406364440918
15,0.019115829840302467,4.949145317077637
16,0.01508534885942936,5.19212007522583
17,0.03491152077913284,5.232885837554932
18,0.06012542545795441,4.536956310272217
19,0.07336626946926117,3.9891395568847656
20,0.019689280539751053,5.431734085083008
21,0.029124578461050987,5.954306125640869
22,0.02564026415348053,5.860121726989746
23,0.3684501349925995,3.468287944793701
24,0.19845496118068695,3.7212233543395996
25,0.054101988673210144,5.040112495422363
26,0.05915761739015579,5.853867053985596
27,0.029370812699198723,6.1816911697387695
28,0.04381463676691055,5.986137390136719
29,0.014228125102818012,6.818415641784668
30,0.04096265137195587,6.786122798919678
31,0.3207385241985321,4.358898639678955
32,0.8351742029190063,2.148599147796631
33,0.6161690950393677,2.3052926063537598
34,0.38579028844833374,2.5739426612854004
35,0.29934680461883545,3.2350664138793945
36,0.660015344619751,2.505385160446167
37,0.45076024532318115,2.846149206161499
38,0.9246431589126587,1.7152857780456543
39,0.8890746235847473,1.8424334526062012
40,0.5726131200790405,2.5508017539978027
41,0.5589039325714111,2.765394926071167
42,0.6430943608283997,2.981215715408325
43,0.7881211638450623,2.1516242027282715
44,0.6301589012145996,2.34186053276062
45,0.6053651571273804,2.8964948654174805
46,0.5902010202407837,2.8159728050231934
47,0.322569340467453,3.4263367652893066
48,0.6399012804031372,2.5864601135253906
49,0.5825995802879333,2.855462074279785
50,0.7515285015106201,2.4890661239624023
51,0.6176474690437317,2.615323543548584
52,0.5678049921989441,2.905963182449341
53,0.5357831120491028,3.107407331466675
54,0.5206432342529297,3.0802958011627197
55,0.4557875990867615,3.29714298248291
56,0.3795095980167389,3.4616594314575195
57,0.37040576338768005,3.6456265449523926
58,0.3448539078235626,3.77026629447937
59,0.2917589843273163,4.077112674713135
60,0.21250537037849426,4.295333385467529
61,0.1626044362783432,4.502974987030029
62,0.26344063878059387,4.192429065704346
63,0.2174014151096344,4.283082008361816
64,0.12446030229330063,4.760706424713135
65,0.15114030241966248,4.686058044433594
66,0.12434110045433044,4.906316757202148
67,0.19679883122444153,4.475369930267334
68,0.1098671406507492,4.937002182006836
69,0.06845950335264206,5.104576110839844
70,0.14524011313915253,5.003602504730225
71,0.11251536756753922,5.080991268157959
72,0.14186757802963257,4.912178993225098
73,0.07821663469076157,5.310622215270996
74,0.14012554287910461,5.020034313201904
75,0.05391164496541023,5.389305591583252
76,0.09895259141921997,5.243129253387451
77,0.05674634501338005,5.462898254394531
78,0.14440907537937164,5.3923139572143555
79,0.1547369807958603,5.278306007385254
80,0.1531188040971756,5.121711254119873
81,0.09844394773244858,5.552873611450195
82,0.033338215202093124,5.52682638168335
83,0.11200031638145447,5.292370319366455
84,0.0768752470612526,5.483574867248535
85,0.09658481180667877,5.659669399261475
86,0.039395276457071304,5.952329635620117
87,0.06844331324100494,5.657135963439941
88,0.13264338672161102,5.362959384918213
89,0.07403980940580368,5.556451797485352
90,0.07067146897315979,5.651642799377441
91,0.026604732498526573,6.164353370666504
92,0.0508965440094471,5.925594329833984
93,0.047329582273960114,6.1890034675598145
94,0.18960396945476532,5.330280780792236
95,0.11967960000038147,5.671440601348877
96,0.039013102650642395,5.909556865692139
97,0.05141522362828255,5.994174957275391
98,0.043078068643808365,6.110147476196289
99,0.07103744149208069,5.816704273223877
100,0.08772274106740952,5.779321670532227
